matchup_id,game_id,model,prompt_file,random_player_defection_prob,nice_factor,forgiving_factor,retaliatory_factor,troublemaking_factor,emulative_factor,player_a_total_score,player_b_total_score
1,0,ministral-3:8b,prompts/baseline.json,0.034482758620689655,1.0,0.1111111111111111,1.0,0.8865979381443299,0.13131313131313133,468,38
2,0,ministral-3:8b,prompts/baseline.json,0.06896551724137931,1.0,0.05357142857142857,1.0,0.8947368421052632,0.12121212121212122,457,42
3,0,ministral-3:8b,prompts/baseline.json,0.10344827586206896,1.0,0.014492753623188406,1.0,0.8404255319148937,0.1919191919191919,445,55
4,0,ministral-3:8b,prompts/baseline.json,0.13793103448275862,1.0,0.034482758620689655,1.0,0.8777777777777778,0.20202020202020202,436,46
5,0,ministral-3:8b,prompts/baseline.json,0.1724137931034483,1.0,0.0,1.0,0.975,0.21212121212121213,417,27
6,0,ministral-3:8b,prompts/baseline.json,0.20689655172413793,1.0,0.024691358024691357,1.0,0.9620253164556962,0.23232323232323232,411,31
7,0,ministral-3:8b,prompts/baseline.json,0.24137931034482757,1.0,0.08823529411764706,1.0,0.8452380952380952,0.26262626262626265,408,63
8,0,ministral-3:8b,prompts/baseline.json,0.27586206896551724,1.0,0.022222222222222223,1.0,0.8974358974358975,0.29292929292929293,398,48
9,0,ministral-3:8b,prompts/baseline.json,0.3103448275862069,1.0,0.05813953488372093,1.0,0.918918918918919,0.29292929292929293,382,52
10,0,ministral-3:8b,prompts/baseline.json,0.3448275862068966,1.0,0.044444444444444446,1.0,0.9508196721311475,0.3939393939393939,336,56
11,0,ministral-3:8b,prompts/baseline.json,0.3793103448275862,1.0,0.010416666666666666,1.0,0.9661016949152542,0.42424242424242425,329,49
12,0,ministral-3:8b,prompts/baseline.json,0.41379310344827586,1.0,0.03225806451612903,0.5,0.9322033898305084,0.41414141414141414,324,64
13,0,ministral-3:8b,prompts/baseline.json,0.4482758620689655,0.0,0.060240963855421686,1.0,0.9090909090909091,0.48484848484848486,307,67
14,0,ministral-3:8b,prompts/baseline.json,0.48275862068965514,1.0,0.05319148936170213,1.0,0.9259259259259259,0.45454545454545453,304,74
15,0,ministral-3:8b,prompts/baseline.json,0.5172413793103449,1.0,0.08888888888888889,0.8,0.9074074074074074,0.4444444444444444,295,85
16,0,ministral-3:8b,prompts/baseline.json,0.5517241379310345,1.0,0.11363636363636363,0.625,0.8409090909090909,0.5555555555555556,252,107
17,0,ministral-3:8b,prompts/baseline.json,0.5862068965517241,1.0,0.12790697674418605,1.0,0.8125,0.5454545454545454,271,106
18,0,ministral-3:8b,prompts/baseline.json,0.6206896551724138,1.0,0.12790697674418605,0.625,0.8292682926829268,0.5656565656565656,235,115
19,0,ministral-3:8b,prompts/baseline.json,0.6551724137931034,1.0,0.07446808510638298,1.0,0.9117647058823529,0.6363636363636364,222,97
20,0,ministral-3:8b,prompts/baseline.json,0.6896551724137931,1.0,0.041666666666666664,1.0,0.9142857142857143,0.6565656565656566,234,84
21,0,ministral-3:8b,prompts/baseline.json,0.7241379310344828,1.0,0.07368421052631578,1.0,0.84375,0.696969696969697,216,101
22,0,ministral-3:8b,prompts/baseline.json,0.7586206896551724,0.0,0.13186813186813187,0.9090909090909091,0.75,0.7575757575757576,158,133
23,0,ministral-3:8b,prompts/baseline.json,0.7931034482758621,1.0,0.10526315789473684,0.8333333333333334,0.75,0.797979797979798,146,131
24,0,ministral-3:8b,prompts/baseline.json,0.8275862068965517,1.0,0.061855670103092786,1.0,0.8,0.8383838383838383,153,113
25,0,ministral-3:8b,prompts/baseline.json,0.8620689655172413,1.0,0.050505050505050504,1.0,0.9,0.8585858585858586,130,115
26,0,ministral-3:8b,prompts/baseline.json,0.896551724137931,1.0,0.11224489795918367,0.9,0.7777777777777778,0.8282828282828283,120,140
27,0,ministral-3:8b,prompts/baseline.json,0.9310344827586207,1.0,0.11458333333333333,0.7692307692307693,0.7777777777777778,0.8282828282828283,118,138
28,0,ministral-3:8b,prompts/baseline.json,0.9655172413793103,1.0,0.04040404040404041,1.0,0.875,0.8888888888888888,123,113
29,0,ministral-3:8b,prompts/baseline.json,1.0,1.0,0.04040404040404041,1.0,0.0,0.9595959595959596,95,120
0,0,ministral-3:8b,prompts/compassionate.json,0.0,1.0,,,0.0,1.0,300,300
1,0,ministral-3:8b,prompts/compassionate.json,0.034482758620689655,1.0,1.0,0.0,0.010309278350515464,0.9595959595959596,293,303
2,0,ministral-3:8b,prompts/compassionate.json,0.06896551724137931,1.0,1.0,0.0,0.010526315789473684,0.9393939393939394,287,307
3,0,ministral-3:8b,prompts/compassionate.json,0.10344827586206896,1.0,1.0,0.0,0.0,0.9393939393939394,282,312
4,0,ministral-3:8b,prompts/compassionate.json,0.13793103448275862,1.0,1.0,0.0,0.011111111111111112,0.8888888888888888,269,319
5,0,ministral-3:8b,prompts/compassionate.json,0.1724137931034483,1.0,1.0,0.0,0.0125,0.7878787878787878,242,337
6,0,ministral-3:8b,prompts/compassionate.json,0.20689655172413793,1.0,1.0,0.0,0.02531645569620253,0.7676767676767676,241,336
7,0,ministral-3:8b,prompts/compassionate.json,0.24137931034482757,1.0,1.0,0.0,0.011904761904761904,0.8282828282828283,254,329
8,0,ministral-3:8b,prompts/compassionate.json,0.27586206896551724,1.0,0.9545454545454546,0.047619047619047616,0.02564102564102564,0.7676767676767676,239,334
9,0,ministral-3:8b,prompts/compassionate.json,0.3103448275862069,1.0,1.0,0.04,0.02702702702702703,0.7272727272727273,227,342
10,0,ministral-3:8b,prompts/compassionate.json,0.3448275862068966,1.0,0.9743589743589743,0.1388888888888889,0.01639344262295082,0.6464646464646465,193,358
11,0,ministral-3:8b,prompts/compassionate.json,0.3793103448275862,1.0,0.9512195121951219,0.12195121951219512,0.03389830508474576,0.6161616161616161,186,361
12,0,ministral-3:8b,prompts/compassionate.json,0.41379310344827586,1.0,0.9761904761904762,0.13513513513513514,0.03389830508474576,0.6262626262626263,193,358
13,0,ministral-3:8b,prompts/compassionate.json,0.4482758620689655,1.0,0.9333333333333333,0.11627906976744186,0.05454545454545454,0.5656565656565656,174,364
14,0,ministral-3:8b,prompts/compassionate.json,0.48275862068965514,1.0,0.9361702127659575,0.16666666666666666,0.037037037037037035,0.5858585858585859,177,362
15,0,ministral-3:8b,prompts/compassionate.json,0.5172413793103449,1.0,0.9166666666666666,0.17073170731707318,0.05555555555555555,0.5757575757575758,176,361
16,0,ministral-3:8b,prompts/compassionate.json,0.5517241379310345,1.0,0.8771929824561403,0.16326530612244897,0.06818181818181818,0.494949494949495,146,371
17,0,ministral-3:8b,prompts/compassionate.json,0.5862068965517241,1.0,0.9230769230769231,0.1702127659574468,0.020833333333333332,0.5454545454545454,157,372
18,0,ministral-3:8b,prompts/compassionate.json,0.6206896551724138,1.0,0.8360655737704918,0.23076923076923078,0.04878048780487805,0.5050505050505051,140,370
19,0,ministral-3:8b,prompts/compassionate.json,0.6551724137931034,1.0,0.8805970149253731,0.12280701754385964,0.11764705882352941,0.3939393939393939,119,384
20,0,ministral-3:8b,prompts/compassionate.json,0.6896551724137931,1.0,0.8181818181818182,0.23636363636363636,0.05714285714285714,0.47474747474747475,128,368
21,0,ministral-3:8b,prompts/compassionate.json,0.7241379310344828,1.0,0.8695652173913043,0.15,0.125,0.40404040404040403,116,376
22,0,ministral-3:8b,prompts/compassionate.json,0.7586206896551724,1.0,0.825,0.18181818181818182,0.1,0.3333333333333333,78,393
23,0,ministral-3:8b,prompts/compassionate.json,0.7931034482758621,1.0,0.7976190476190477,0.25757575757575757,0.0625,0.3333333333333333,67,392
24,0,ministral-3:8b,prompts/compassionate.json,0.8275862068965517,1.0,0.7441860465116279,0.3,0.06666666666666667,0.3939393939393939,78,368
25,0,ministral-3:8b,prompts/compassionate.json,0.8620689655172413,1.0,0.7555555555555555,0.26865671641791045,0.1,0.32323232323232326,54,384
26,0,ministral-3:8b,prompts/compassionate.json,0.896551724137931,1.0,0.7252747252747253,0.30303030303030304,0.1111111111111111,0.3333333333333333,52,377
27,0,ministral-3:8b,prompts/compassionate.json,0.9310344827586207,1.0,0.7472527472527473,0.27941176470588236,0.1111111111111111,0.32323232323232326,52,382
28,0,ministral-3:8b,prompts/compassionate.json,0.9655172413793103,1.0,0.7021276595744681,0.2753623188405797,0.25,0.31313131313131315,51,376
29,0,ministral-3:8b,prompts/compassionate.json,1.0,1.0,0.7272727272727273,0.2777777777777778,0.0,0.2727272727272727,27,392
0,0,qwen3.5:9b,prompts/x10.json,0.0,1.0,,,0.0,1.0,300,300
1,0,qwen3.5:9b,prompts/x10.json,0.034482758620689655,1.0,0.3333333333333333,1.0,0.18556701030927836,0.8080808080808081,331,246
2,0,qwen3.5:9b,prompts/x10.json,0.06896551724137931,1.0,0.6666666666666666,0.4,0.010526315789473684,0.9595959595959596,291,301
3,0,qwen3.5:9b,prompts/x10.json,0.10344827586206896,1.0,1.0,0.16666666666666666,0.010638297872340425,0.9393939393939394,286,306
4,0,qwen3.5:9b,prompts/x10.json,0.13793103448275862,1.0,1.0,0.0,0.011111111111111112,0.8888888888888888,269,319
5,0,qwen3.5:9b,prompts/x10.json,0.1724137931034483,1.0,0.4117647058823529,0.36363636363636365,0.35,0.6161616161616161,309,219
6,0,qwen3.5:9b,prompts/x10.json,0.20689655172413793,1.0,0.7916666666666666,0.2,0.2911392405063291,0.5959595959595959,288,258
7,0,qwen3.5:9b,prompts/x10.json,0.24137931034482757,1.0,0.8823529411764706,0.2,0.03571428571428571,0.8383838383838383,262,312
8,0,qwen3.5:9b,prompts/x10.json,0.27586206896551724,1.0,0.6296296296296297,0.1875,0.19230769230769232,0.7171717171717171,275,265
9,0,qwen3.5:9b,prompts/x10.json,0.3103448275862069,0.0,0.6216216216216216,0.15789473684210525,0.3108108108108108,0.5858585858585859,275,255
10,0,qwen3.5:9b,prompts/x10.json,0.3448275862068966,1.0,0.36666666666666664,0.35714285714285715,0.639344262295082,0.46464646464646464,287,162
11,0,qwen3.5:9b,prompts/x10.json,0.3793103448275862,0.0,0.17567567567567569,0.4444444444444444,0.8305084745762712,0.4444444444444444,305,100
12,0,qwen3.5:9b,prompts/x10.json,0.41379310344827586,1.0,0.4339622641509434,0.36363636363636365,0.3559322033898305,0.5959595959595959,242,232
13,0,qwen3.5:9b,prompts/x10.json,0.4482758620689655,1.0,0.4406779661016949,0.34782608695652173,0.38181818181818183,0.5555555555555556,225,240
14,0,qwen3.5:9b,prompts/x10.json,0.48275862068965514,1.0,0.31343283582089554,0.8333333333333334,0.5555555555555556,0.5656565656565656,260,175
15,0,qwen3.5:9b,prompts/x10.json,0.5172413793103449,1.0,0.4,0.25,0.48148148148148145,0.5353535353535354,239,214
16,0,qwen3.5:9b,prompts/x10.json,0.5517241379310345,1.0,0.46875,0.4074074074074074,0.38636363636363635,0.5858585858585859,194,234
17,0,qwen3.5:9b,prompts/x10.json,0.5862068965517241,0.0,0.24050632911392406,0.5882352941176471,0.6875,0.5252525252525253,249,159
18,0,qwen3.5:9b,prompts/x10.json,0.6206896551724138,0.0,0.14942528735632185,0.3,0.8048780487804879,0.5454545454545454,229,134
19,0,qwen3.5:9b,prompts/x10.json,0.6551724137931034,1.0,0.16666666666666666,0.36363636363636365,0.5882352941176471,0.7070707070707071,199,149
20,0,qwen3.5:9b,prompts/x10.json,0.6896551724137931,0.0,0.2875,0.42105263157894735,0.6285714285714286,0.6262626262626263,201,171
21,0,qwen3.5:9b,prompts/x10.json,0.7241379310344828,0.0,0.125,0.5,0.78125,0.6767676767676768,201,121
22,0,qwen3.5:9b,prompts/x10.json,0.7586206896551724,1.0,0.07216494845360824,1.0,0.85,0.7575757575757576,164,119
23,0,qwen3.5:9b,prompts/x10.json,0.7931034482758621,1.0,0.01020408163265306,1.0,0.875,0.8585858585858586,158,93
24,0,qwen3.5:9b,prompts/x10.json,0.8275862068965517,1.0,0.15053763440860216,0.9375,0.7333333333333333,0.7777777777777778,142,142
25,0,qwen3.5:9b,prompts/x10.json,0.8620689655172413,1.0,0.13402061855670103,0.9285714285714286,0.8,0.797979797979798,121,146
26,0,qwen3.5:9b,prompts/x10.json,0.896551724137931,1.0,0.11224489795918367,0.75,0.7777777777777778,0.8282828282828283,120,140
27,0,qwen3.5:9b,prompts/x10.json,0.9310344827586207,1.0,0.1276595744680851,0.9411764705882353,0.4444444444444444,0.8484848484848485,112,152
28,0,qwen3.5:9b,prompts/x10.json,0.9655172413793103,0.0,0.0,1.0,1.0,0.9292929292929293,128,93
29,0,qwen3.5:9b,prompts/x10.json,1.0,1.0,0.04040404040404041,1.0,0.0,0.9595959595959596,95,120
0,0,qwen3.5:9b,prompts/x100.json,0.0,0.0,,,0.02,0.9797979797979798,304,294
1,0,qwen3.5:9b,prompts/x100.json,0.034482758620689655,1.0,0.3333333333333333,1.0,0.09278350515463918,0.898989898989899,313,273
2,0,qwen3.5:9b,prompts/x100.json,0.06896551724137931,1.0,0.6666666666666666,0.2,0.010526315789473684,0.9494949494949495,289,304
3,0,qwen3.5:9b,prompts/x100.json,0.10344827586206896,1.0,1.0,0.16666666666666666,0.0,0.9494949494949495,284,309
4,0,qwen3.5:9b,prompts/x100.json,0.13793103448275862,1.0,1.0,0.0,0.022222222222222223,0.8787878787878788,270,315
5,0,qwen3.5:9b,prompts/x100.json,0.1724137931034483,1.0,0.36,0.2777777777777778,0.4125,0.5353535353535354,318,218
6,0,qwen3.5:9b,prompts/x100.json,0.20689655172413793,1.0,0.6785714285714286,0.42105263157894735,0.16455696202531644,0.7373737373737373,276,276
7,0,qwen3.5:9b,prompts/x100.json,0.24137931034482757,1.0,0.8823529411764706,0.1875,0.03571428571428571,0.8383838383838383,263,313
8,0,qwen3.5:9b,prompts/x100.json,0.27586206896551724,1.0,0.7037037037037037,0.0,0.15384615384615385,0.696969696969697,262,292
9,0,qwen3.5:9b,prompts/x100.json,0.3103448275862069,1.0,0.8888888888888888,0.17391304347826086,0.16216216216216217,0.6565656565656566,250,300
10,0,qwen3.5:9b,prompts/x100.json,0.3448275862068966,1.0,0.18421052631578946,0.7142857142857143,0.8032786885245902,0.42424242424242425,314,109
11,0,qwen3.5:9b,prompts/x100.json,0.3793103448275862,1.0,0.20270270270270271,0.15384615384615385,0.6440677966101694,0.494949494949495,280,155
12,0,qwen3.5:9b,prompts/x100.json,0.41379310344827586,1.0,0.375,0.4090909090909091,0.4067796610169492,0.5757575757575758,249,219
13,0,qwen3.5:9b,prompts/x100.json,0.4482758620689655,1.0,0.23684210526315788,0.375,0.6727272727272727,0.47474747474747475,265,160
14,0,qwen3.5:9b,prompts/x100.json,0.48275862068965514,1.0,0.49056603773584906,0.4074074074074074,0.3148148148148148,0.6060606060606061,220,245
15,0,qwen3.5:9b,prompts/x100.json,0.5172413793103449,1.0,0.18181818181818182,0.3,0.6296296296296297,0.5555555555555556,266,151
16,0,qwen3.5:9b,prompts/x100.json,0.5517241379310345,1.0,0.18518518518518517,0.3333333333333333,0.5681818181818182,0.6363636363636364,228,163
17,0,qwen3.5:9b,prompts/x100.json,0.5862068965517241,0.0,0.2987012987012987,0.25,0.6458333333333334,0.494949494949495,239,184
18,0,qwen3.5:9b,prompts/x100.json,0.6206896551724138,0.0,0.1511627906976744,0.5454545454545454,0.8780487804878049,0.5353535353535354,236,116
19,0,qwen3.5:9b,prompts/x100.json,0.6551724137931034,1.0,0.06521739130434782,0.8,0.8823529411764706,0.6565656565656566,221,96
20,0,qwen3.5:9b,prompts/x100.json,0.6896551724137931,1.0,0.16853932584269662,0.5333333333333333,0.7714285714285715,0.5959595959595959,212,142
21,0,qwen3.5:9b,prompts/x100.json,0.7241379310344828,0.0,0.052083333333333336,1.0,0.90625,0.696969696969697,219,89
22,0,qwen3.5:9b,prompts/x100.json,0.7586206896551724,1.0,0.03125,0.8333333333333334,0.8,0.8181818181818182,168,103
23,0,qwen3.5:9b,prompts/x100.json,0.7931034482758621,1.0,0.0,1.0,0.9375,0.8484848484848485,159,89
24,0,qwen3.5:9b,prompts/x100.json,0.8275862068965517,1.0,0.061224489795918366,0.875,0.9333333333333333,0.797979797979798,152,112
25,0,qwen3.5:9b,prompts/x100.json,0.8620689655172413,1.0,0.01020408163265306,1.0,0.8,0.9191919191919192,134,99
26,0,qwen3.5:9b,prompts/x100.json,0.896551724137931,1.0,0.0,1.0,0.8888888888888888,0.9191919191919192,131,96
27,0,qwen3.5:9b,prompts/x100.json,0.9310344827586207,1.0,0.061855670103092786,0.5555555555555556,0.6666666666666666,0.8888888888888888,123,123
28,0,qwen3.5:9b,prompts/x100.json,0.9655172413793103,1.0,0.050505050505050504,0.8571428571428571,0.875,0.8787878787878788,122,117
29,0,qwen3.5:9b,prompts/x100.json,1.0,1.0,0.030303030303030304,1.0,0.0,0.9696969696969697,96,116
0,0,ministral-3:14b,prompts/rude.json,0.0,0.0,,,0.5,0.5050505050505051,400,150
1,0,ministral-3:14b,prompts/rude.json,0.034482758620689655,1.0,0.75,0.6666666666666666,0.5051546391752577,0.494949494949495,393,153
2,0,ministral-3:14b,prompts/rude.json,0.06896551724137931,1.0,0.8333333333333334,0.5,0.3157894736842105,0.6767676767676768,350,210
3,0,ministral-3:14b,prompts/rude.json,0.10344827586206896,1.0,0.6666666666666666,0.6666666666666666,0.4574468085106383,0.5353535353535354,371,171
4,0,ministral-3:14b,prompts/rude.json,0.13793103448275862,1.0,0.7142857142857143,0.5,0.36666666666666664,0.6060606060606061,335,205
5,0,ministral-3:14b,prompts/rude.json,0.1724137931034483,1.0,0.6153846153846154,0.4444444444444444,0.475,0.5252525252525253,328,183
6,0,ministral-3:14b,prompts/rude.json,0.20689655172413793,1.0,0.7083333333333334,0.7142857142857143,0.5316455696202531,0.46464646464646464,332,177
7,0,ministral-3:14b,prompts/rude.json,0.24137931034482757,1.0,0.52,0.6363636363636364,0.39285714285714285,0.5959595959595959,331,201
8,0,ministral-3:14b,prompts/rude.json,0.27586206896551724,0.0,0.5625,0.6666666666666666,0.5384615384615384,0.5050505050505051,336,166
9,0,ministral-3:14b,prompts/rude.json,0.3103448275862069,1.0,0.5588235294117647,0.5384615384615384,0.47297297297297297,0.5252525252525253,308,193
10,0,ministral-3:14b,prompts/rude.json,0.3448275862068966,1.0,0.5,0.7058823529411765,0.5081967213114754,0.5353535353535354,272,192
11,0,ministral-3:14b,prompts/rude.json,0.3793103448275862,1.0,0.5714285714285714,0.65,0.5084745762711864,0.494949494949495,254,209
12,0,ministral-3:14b,prompts/rude.json,0.41379310344827586,1.0,0.48,0.5294117647058824,0.5084745762711864,0.5050505050505051,257,202
13,0,ministral-3:14b,prompts/rude.json,0.4482758620689655,1.0,0.5576923076923077,0.7407407407407407,0.3090909090909091,0.6464646464646465,228,238
14,0,ministral-3:14b,prompts/rude.json,0.48275862068965514,1.0,0.5471698113207547,0.64,0.46296296296296297,0.5656565656565656,244,209
15,0,ministral-3:14b,prompts/rude.json,0.5172413793103449,0.0,0.46551724137931033,0.45454545454545453,0.5185185185185185,0.5252525252525253,241,206
16,0,ministral-3:14b,prompts/rude.json,0.5517241379310345,0.0,0.4492753623188406,0.5925925925925926,0.5,0.5353535353535354,203,223
17,0,ministral-3:14b,prompts/rude.json,0.5862068965517241,0.0,0.515625,0.5,0.625,0.43434343434343436,224,209
18,0,ministral-3:14b,prompts/rude.json,0.6206896551724138,0.0,0.515625,0.5862068965517241,0.4878048780487805,0.5555555555555556,193,223
19,0,ministral-3:14b,prompts/rude.json,0.6551724137931034,1.0,0.4868421052631579,0.6666666666666666,0.5294117647058824,0.5555555555555556,179,224
20,0,ministral-3:14b,prompts/rude.json,0.6896551724137931,0.0,0.4594594594594595,0.6206896551724138,0.5142857142857142,0.5656565656565656,183,223
21,0,ministral-3:14b,prompts/rude.json,0.7241379310344828,1.0,0.3924050632911392,0.6666666666666666,0.53125,0.5555555555555556,167,222
22,0,ministral-3:14b,prompts/rude.json,0.7586206896551724,0.0,0.3493975903614458,0.6896551724137931,0.35,0.696969696969697,130,220
23,0,ministral-3:14b,prompts/rude.json,0.7931034482758621,1.0,0.3516483516483517,0.7142857142857143,0.5,0.6363636363636364,120,225
24,0,ministral-3:14b,prompts/rude.json,0.8275862068965517,1.0,0.3595505617977528,0.7586206896551724,0.5333333333333333,0.6262626262626263,117,222
25,0,ministral-3:14b,prompts/rude.json,0.8620689655172413,1.0,0.34782608695652173,0.7096774193548387,0.5,0.6565656565656566,98,223
26,0,ministral-3:14b,prompts/rude.json,0.896551724137931,1.0,0.2903225806451613,0.7777777777777778,0.4444444444444444,0.7171717171717171,100,205
27,0,ministral-3:14b,prompts/rude.json,0.9310344827586207,1.0,0.32978723404255317,0.7333333333333333,0.6666666666666666,0.6363636363636364,95,220
28,0,ministral-3:14b,prompts/rude.json,0.9655172413793103,1.0,0.3191489361702128,0.8333333333333334,0.625,0.6565656565656566,93,218
29,0,ministral-3:14b,prompts/rude.json,1.0,1.0,0.2222222222222222,0.875,0.0,0.7777777777777778,77,192
0,0,ministral-3:8b,prompts/x100.json,0.0,1.0,,,0.0,1.0,300,300
1,0,ministral-3:8b,prompts/x100.json,0.034482758620689655,1.0,0.02,1.0,0.979381443298969,0.04040404040404041,485,10
2,0,ministral-3:8b,prompts/x100.json,0.06896551724137931,0.0,0.08,,0.9578947368421052,0.06060606060606061,468,23
3,0,ministral-3:8b,prompts/x100.json,0.10344827586206896,1.0,0.013157894736842105,1.0,0.7446808510638298,0.29292929292929293,430,80
4,0,ministral-3:8b,prompts/x100.json,0.13793103448275862,1.0,0.022727272727272728,1.0,0.8888888888888888,0.1919191919191919,437,42
5,0,ministral-3:8b,prompts/x100.json,0.1724137931034483,1.0,0.05333333333333334,1.0,0.925,0.24242424242424243,408,43
6,0,ministral-3:8b,prompts/x100.json,0.20689655172413793,1.0,0.020202020202020204,1.0,0.9873417721518988,0.1919191919191919,413,33
7,0,ministral-3:8b,prompts/x100.json,0.24137931034482757,1.0,0.047619047619047616,1.0,0.8809523809523809,0.23232323232323232,413,53
8,0,ministral-3:8b,prompts/x100.json,0.27586206896551724,1.0,0.010752688172043012,1.0,0.9102564102564102,0.2828282828282828,400,45
9,0,ministral-3:8b,prompts/x100.json,0.3103448275862069,1.0,0.023529411764705882,0.6666666666666666,0.918918918918919,0.30303030303030304,383,48
10,0,ministral-3:8b,prompts/x100.json,0.3448275862068966,1.0,0.042105263157894736,0.6666666666666666,0.9508196721311475,0.3939393939393939,337,57
11,0,ministral-3:8b,prompts/x100.json,0.3793103448275862,1.0,0.0,1.0,0.9830508474576272,0.41414141414141414,331,46
12,0,ministral-3:8b,prompts/x100.json,0.41379310344827586,1.0,0.0,1.0,0.9661016949152542,0.42424242424242425,333,48
13,0,ministral-3:8b,prompts/x100.json,0.4482758620689655,0.0,0.0,,0.9818181818181818,0.45454545454545453,314,49
14,0,ministral-3:8b,prompts/x100.json,0.48275862068965514,1.0,0.0,1.0,0.9814814814814815,0.46464646464646464,315,50
15,0,ministral-3:8b,prompts/x100.json,0.5172413793103449,0.0,0.02127659574468085,1.0,0.9444444444444444,0.48484848484848486,307,57
16,0,ministral-3:8b,prompts/x100.json,0.5517241379310345,1.0,0.0,1.0,0.9545454545454546,0.5757575757575758,269,64
